id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_numeric,price_30_days,price_category
38777110,Excelente monoambiente en el corazón de recoleta,296556097,Rodrigo,Recoleta,-34.58988,-58.4022,Entire home/apt,"$1,792.00",1,8,2020-02-25,1.37,1,84,1792.0,53760.0,medium
38778545,Modern Loft in Recoleta near attractions,23788649,Valeria,Recoleta,-34.59677,-58.4048,Entire home/apt,"$3,319.00",1,41,2020-03-15,5.89,1,55,3319.0,99570.0,high
38778679,"Sunny, quiet and very cozy in theater district",26648822,Miguel,San Nicolás,-34.60274,-58.39044,Entire home/apt,"$2,323.00",2,8,2020-03-13,1.35,5,364,2323.0,69690.0,medium
38779122,"Amplia habitación baño privado,en Belgrano CABA",279477585,Sandra,Belgrano,-34.56647,-58.45314,Private room,$797.00,30,0,,0.0,4,88,797.0,23910.0,low
38779673,"HABITACIÓN PRIVADA EN FLORES, CABA.",250117976,Leo Y Su,Caballito,-34.62643,-58.4537,Private room,$996.00,3,0,,0.0,1,358,996.0,29880.0,low
38780773,Departamento amplio y luminoso  en recoleta,40438388,Jorge,Recoleta,-34.5978,-58.40259,Entire home/apt,"$2,655.00",3,6,2019-11-25,0.89,1,0,2655.0,79650.0,medium
38781437,Moderno Ambiente (5C) en Palermo Queens,117955293,Marcela,Villa Crespo,-34.60079,-58.43286,Entire home/apt,"$1,460.00",14,3,2019-12-31,0.49,3,96,1460.0,43800.0,low
38781938,Modern and bright apartment in the heart of Nunez.,22521769,Berni,Belgrano,-34.55436,-58.45295,Entire home/apt,"$1,859.00",2,11,2020-04-25,1.52,1,365,1859.0,55770.0,medium
38790321,Hermoso Depto para tres en Palermo Hollywood!,296672784,Valeria Y Daniel,Palermo,-34.58608,-58.43886,Entire home/apt,"$2,124.00",1,8,2020-03-12,1.22,3,89,2124.0,63720.0,medium
38790376,Eugene city,3262657,Euge,Belgrano,-34.55875,-58.44281,Entire home/apt,"$2,921.00",1,6,2020-01-08,0.95,4,365,2921.0,87630.0,high
38794955,Para descubrir y disfrutar de Palermo,216280173,Luis,Palermo,-34.58911,-58.42593,Private room,$797.00,2,21,2020-03-21,2.89,1,49,797.0,23910.0,low
